Image,Predicted Label
6943_x_2113_y_11349_z_125_top_2024_05_01_01_39_48_white.jpg,0
6943_x_2090_y_9690_z_125_top_2024_06_03_23_14_14_white.jpg,1
6943_x_125_y_14515_z_125_top_2024_04_29_23_36_06_white.jpg,1
6943_x_718_y_14515_z_125_top_2024_05_23_00_46_04_white.jpg,0
6943_x_1404_y_14214_z_125_top_2024_05_28_00_33_18_white.jpg,0
6943_x_2300_y_9388_z_125_top_2024_06_04_02_15_40_white.jpg,0
6943_x_718_y_11349_z_125_top_2024_05_07_00_42_50_white.jpg,0
6943_x_1766_y_11349_z_125_top_2024_05_01_01_38_02_white.jpg,0
6943_x_718_y_13460_z_125_top_2024_06_08_00_10_42_white.jpg,1
6943_x_2300_y_13460_z_125_top_2024_06_07_00_00_07_white.jpg,0
6943_x_125_y_10896_z_125_top_2024_04_28_00_32_42_white.jpg,0
6943_x_378_y_14515_z_125_top_2024_05_02_00_38_23_white.jpg,1
6943_x_1747_y_9539_z_125_top_2024_06_08_01_56_21_white.jpg,0
6943_x_725_y_14968_z_125_top_2024_04_30_23_49_19_white.jpg,1
6943_x_1089_y_14515_z_125_top_2024_04_29_23_38_58_white.jpg,1
6943_x_2300_y_10896_z_125_top_2024_05_03_00_49_33_white.jpg,1
6943_x_375_y_10896_z_125_top_2024_05_06_01_11_53_white.jpg,1
6943_x_32_y_13761_z_125_top_2024_06_10_23_23_48_white.jpg,1
6943_x_2090_y_6523_z_125_top_2024_05_05_02_59_25_white.jpg,1
6943_x_2300_y_14214_z_125_top_2024_05_26_01_38_45_white.jpg,1
6943_x_1061_y_9991_z_125_top_2024_06_05_01_20_58_white.jpg,0
6943_x_1061_y_9539_z_125_top_2024_06_12_02_12_35_white.jpg,0
6943_x_32_y_6523_z_125_top_2024_05_10_01_01_22_white.jpg,1
6943_x_125_y_10595_z_125_top_2024_04_30_00_45_14_white.jpg,1
6943_x_1061_y_9991_z_125_top_2024_06_12_01_12_36_white.jpg,1
6943_x_375_y_14515_z_125_top_2024_05_22_01_04_10_white.jpg,0
6943_x_2090_y_9690_z_125_top_2024_06_07_01_41_27_white.jpg,0
6943_x_2090_y_9539_z_125_top_2024_06_13_01_56_57_white.jpg,0
6943_x_32_y_13460_z_125_top_2024_06_06_00_07_59_white.jpg,0
6943_x_2090_y_9388_z_125_top_2024_06_04_02_14_00_white.jpg,1
6943_x_2090_y_11198_z_125_top_2024_05_04_00_32_02_white.jpg,1
6943_x_1061_y_9841_z_125_top_2024_06_10_01_26_05_white.jpg,0
6943_x_718_y_6523_z_125_top_2024_05_04_04_13_52_white.jpg,0
6943_x_125_y_14666_z_125_top_2024_04_25_23_36_14_white.jpg,0
6943_x_1404_y_13460_z_125_top_2024_06_06_23_54_55_white.jpg,0
6943_x_1404_y_11349_z_125_top_2024_05_04_00_01_54_white.jpg,0
6943_x_32_y_9539_z_125_top_2024_06_11_01_47_02_white.jpg,0
6943_x_1404_y_13158_z_125_top_2024_06_07_00_35_27_white.jpg,0
6943_x_1747_y_10896_z_125_top_2024_05_05_01_45_41_white.jpg,1
6943_x_2300_y_10745_z_125_top_2024_05_02_02_52_14_white.jpg,1
6943_x_718_y_14063_z_125_top_2024_05_18_02_24_15_white.jpg,1
6943_x_1061_y_13309_z_125_top_2024_06_09_00_32_50_white.jpg,0
6943_x_718_y_13158_z_125_top_2024_06_05_00_58_32_white.jpg,0
6943_x_2090_y_13158_z_125_top_2024_06_05_01_05_43_white.jpg,0
6943_x_1404_y_14214_z_125_top_2024_05_25_01_28_38_white.jpg,0
6943_x_32_y_9690_z_125_top_2024_06_05_23_03_16_white.jpg,0
6943_x_2053_y_9388_z_125_top_2024_04_19_23_41_06_white.jpg,1
6943_x_2053_y_13761_z_125_top_2024_04_02_23_16_13_white.jpg,0
6943_x_1766_y_11198_z_125_top_2024_05_02_02_02_01_white.jpg,1
6943_x_1747_y_10745_z_125_top_2024_05_06_23_15_02_white.jpg,1
6943_x_2053_y_6976_z_125_top_2024_04_30_01_30_22_white.jpg,0
6943_x_1061_y_13611_z_125_top_2024_06_09_23_53_57_white.jpg,0
